Episode : 360 / 10000, Score : 532, Max Tile : 256, Average: 515.3, Loss : 0.000
Episode : 361 / 10000, Score : 534, Max Tile : 256, Average: 517.4, Loss : 0.000
Episode : 362 / 10000, Score : 530, Max Tile : 256, Average: 517.3, Loss : 0.000
Episode : 363 / 10000, Score : 532, Max Tile : 256, Average: 517.3, Loss : 0.000
Episode : 364 / 10000, Score : 538, Max Tile : 256, Average: 517.7, Loss : 0.000
Episode : 365 / 10000, Score : 538, Max Tile : 256, Average: 517.9, Loss : 0.000
Episode : 366 / 10000, Score : 530, Max Tile : 256, Average: 518.0, Loss : 0.000
Episode : 367 / 10000, Score : 530, Max Tile : 256, Average: 518.0, Loss : 0.000
Episode : 368 / 10000, Score : 536, Max Tile : 256, Average: 518.2, Loss : 0.000
Episode : 369 / 10000, Score : 534, Max Tile : 256, Average: 518.4, Loss : 0.000
Episode : 370 / 10000, Score : 538, Max Tile : 256, Average: 518.7, Loss : 0.000
Episode : 371 / 10000, Score : 534, Max Tile : 256, Average: 518.9, Loss : 0.000
Episode : 372 / 10000, Score : 532, Max Tile : 256, Average: 519.0, Loss : 0.000
Episode : 373 / 10000, Score : 532, Max Tile : 256, Average: 519.0, Loss : 0.000
Episode : 374 / 10000, Score : 536, Max Tile : 256, Average: 519.2, Loss : 0.000
Episode : 375 / 10000, Score : 534, Max Tile : 256, Average: 519.3, Loss : 0.000
Episode : 376 / 10000, Score : 532, Max Tile : 256, Average: 519.4, Loss : 0.000
Episode : 377 / 10000, Score : 538, Max Tile : 256, Average: 519.6, Loss : 0.000
Episode : 378 / 10000, Score : 534, Max Tile : 256, Average: 519.6, Loss : 0.000
Episode : 379 / 10000, Score : 534, Max Tile : 256, Average: 519.8, Loss : 0.000
Episode : 380 / 10000, Score : 534, Max Tile : 256, Average: 520.0, Loss : 0.000
Episode : 381 / 10000, Score : 542, Max Tile : 256, Average: 520.2, Loss : 0.000
Episode : 382 / 10000, Score : 534, Max Tile : 256, Average: 520.4, Loss : 0.000
Episode : 383 / 10000, Score : 554, Max Tile : 256, Average: 520.7, Loss : 0.000
Episode : 384 / 10000, Score : 542, Max Tile : 256, Average: 520.9, Loss : 0.000
Episode : 385 / 10000, Score : 548, Max Tile : 256, Average: 521.2, Loss : 0.000
Episode : 386 / 10000, Score : 540, Max Tile : 256, Average: 521.4, Loss : 0.000
Episode : 387 / 10000, Score : 546, Max Tile : 256, Average: 522.5, Loss : 0.000
Episode : 388 / 10000, Score : 538, Max Tile : 256, Average: 522.7, Loss : 0.000
Episode : 389 / 10000, Score : 538, Max Tile : 256, Average: 522.9, Loss : 0.000
Episode : 390 / 10000, Score : 542, Max Tile : 256, Average: 526.2, Loss : 0.000
Episode : 391 / 10000, Score : 538, Max Tile : 256, Average: 526.5, Loss : 0.000
Episode : 392 / 10000, Score : 538, Max Tile : 256, Average: 526.7, Loss : 0.000
Episode : 393 / 10000, Score : 538, Max Tile : 256, Average: 527.0, Loss : 0.000
Episode : 394 / 10000, Score : 540, Max Tile : 256, Average: 527.2, Loss : 0.000
Episode : 395 / 10000, Score : 540, Max Tile : 256, Average: 527.5, Loss : 0.000
Episode : 396 / 10000, Score : 546, Max Tile : 256, Average: 527.9, Loss : 0.000
Episode : 397 / 10000, Score : 540, Max Tile : 256, Average: 528.2, Loss : 0.000
Episode : 398 / 10000, Score : 542, Max Tile : 256, Average: 528.4, Loss : 0.000
Episode : 399 / 10000, Score : 546, Max Tile : 256, Average: 528.7, Loss : 0.000
Episode : 400 / 10000, Score : 540, Max Tile : 256, Average: 528.8, Loss : 0.000
Episode : 401 / 10000, Score : 542, Max Tile : 256, Average: 529.3, Loss : 0.000
Episode : 402 / 10000, Score : 546, Max Tile : 256, Average: 529.6, Loss : 0.000
Episode : 403 / 10000, Score : 544, Max Tile : 256, Average: 529.8, Loss : 0.000
Episode : 404 / 10000, Score : 540, Max Tile : 256, Average: 530.1, Loss : 0.000
Episode : 405 / 10000, Score : 546, Max Tile : 256, Average: 530.4, Loss : 0.000
Episode : 406 / 10000, Score : 546, Max Tile : 256, Average: 530.7, Loss : 0.000
Episode : 407 / 10000, Score : 546, Max Tile : 256, Average: 531.0, Loss : 0.000
Episode : 408 / 10000, Score : 546, Max Tile : 256, Average: 531.3, Loss : 0.000
Episode : 409 / 10000, Score : 588, Max Tile : 512, Average: 531.7, Loss : 0.000
Episode : 410 / 10000, Score : 546, Max Tile : 256, Average: 532.0, Loss : 0.000
Episode : 411 / 10000, Score : 546, Max Tile : 256, Average: 532.1, Loss : 0.000
Episode : 412 / 10000, Score : 546, Max Tile : 256, Average: 532.4, Loss : 0.000
Episode : 413 / 10000, Score : 546, Max Tile : 256, Average: 532.7, Loss : 0.000
Episode : 414 / 10000, Score : 552, Max Tile : 256, Average: 533.0, Loss : 0.000
Episode : 415 / 10000, Score : 560, Max Tile : 256, Average: 533.3, Loss : 0.000
Episode : 416 / 10000, Score : 544, Max Tile : 256, Average: 533.7, Loss : 0.000
Episode : 417 / 10000, Score : 546, Max Tile : 256, Average: 533.8, Loss : 0.000
Episode : 418 / 10000, Score : 550, Max Tile : 256, Average: 534.1, Loss : 0.000
Episode : 419 / 10000, Score : 548, Max Tile : 256, Average: 534.4, Loss : 0.000
Episode : 420 / 10000, Score : 546, Max Tile : 256, Average: 534.7, Loss : 0.000
Episode : 421 / 10000, Score : 548, Max Tile : 256, Average: 535.0, Loss : 0.000
Episode : 422 / 10000, Score : 552, Max Tile : 256, Average: 535.3, Loss : 0.000
Episode : 423 / 10000, Score : 546, Max Tile : 256, Average: 535.6, Loss : 0.000
Episode : 424 / 10000, Score : 548, Max Tile : 256, Average: 535.9, Loss : 0.000
Episode : 425 / 10000, Score : 546, Max Tile : 256, Average: 536.2, Loss : 0.000
Episode : 426 / 10000, Score : 462, Max Tile : 128, Average: 535.7, Loss : 0.001
Episode : 427 / 10000, Score : 554, Max Tile : 256, Average: 536.1, Loss : 0.001
Episode : 428 / 10000, Score : 554, Max Tile : 256, Average: 536.4, Loss : 0.000
Episode : 429 / 10000, Score : 544, Max Tile : 256, Average: 536.7, Loss : 0.000
Episode : 430 / 10000, Score : 282, Max Tile : 64, Average: 534.4, Loss : 0.012
Episode : 431 / 10000, Score : 546, Max Tile : 256, Average: 534.6, Loss : 0.003
Episode : 432 / 10000, Score : 548, Max Tile : 256, Average: 534.8, Loss : 0.010
Episode : 433 / 10000, Score : 542, Max Tile : 256, Average: 535.0, Loss : 0.003
Episode : 434 / 10000, Score : 548, Max Tile : 256, Average: 535.2, Loss : 0.006
Episode : 435 / 10000, Score : 542, Max Tile : 256, Average: 535.4, Loss : 0.005
Episode : 436 / 10000, Score : 544, Max Tile : 256, Average: 535.6, Loss : 0.010
Episode : 437 / 10000, Score : 542, Max Tile : 256, Average: 535.8, Loss : 0.007
Episode : 438 / 10000, Score : 542, Max Tile : 256, Average: 536.0, Loss : 0.010
Episode : 439 / 10000, Score : 544, Max Tile : 256, Average: 536.1, Loss : 0.008
Episode : 440 / 10000, Score : 542, Max Tile : 256, Average: 536.3, Loss : 0.010
Episode : 441 / 10000, Score : 548, Max Tile : 256, Average: 536.5, Loss : 0.003
Episode : 442 / 10000, Score : 546, Max Tile : 256, Average: 536.8, Loss : 0.008
Episode : 443 / 10000, Score : 546, Max Tile : 256, Average: 537.0, Loss : 0.010
Episode : 444 / 10000, Score : 544, Max Tile : 256, Average: 537.2, Loss : 0.001
Episode : 445 / 10000, Score : 546, Max Tile : 256, Average: 537.4, Loss : 0.007
Episode : 446 / 10000, Score : 550, Max Tile : 256, Average: 537.7, Loss : 0.007
Episode : 447 / 10000, Score : 550, Max Tile : 256, Average: 537.7, Loss : 0.005
Episode : 448 / 10000, Score : 550, Max Tile : 256, Average: 537.9, Loss : 0.005
